# alias \t normalization_term
不定形	不定形
十字形	十字形
半圆形	半圆形
半椭圆形	半椭圆形
卵形	卵形
变形	变形
叶变形	叶变形
叶形	叶形
呈锯齿形	呈锯齿形
圆形	圆形
圆筒形	圆筒形
圆锥形	圆锥形
多角形	多角形
字形	字形
定形	定形
弧形	弧形
扁形	扁形
扇形	扇形
多角形	多角形
条形	条形
根形	根形
梭形	梭形
椭圆形	椭圆形
漏斗形	漏斗形
环形	环形
球形	球形
畸形	畸形
梭形	梭形
矩形	矩形
纺锤形	纺锤形
线形	线形
背形	背形
菱形	菱形
角形	角形
针形	针形
锥形	锥形
长圆形	长圆形
长形	长形
不规则形	不规则形
整形	整形
叶状	叶状
水渍状	水渍状
水浸状	水浸状
色霉状	色霉状
轮纹状	轮纹状
棉絮状	棉絮状
油渍状	油渍状
绒毛状	绒毛状
色绒状	色绒状
鼠粪状	鼠粪状
色粉状	色粉状
放射状	放射状
辐射状	辐射状
湿腐状	湿腐状
毛毡状	毛毡状
缺水状	缺水状
煤烟状	煤烟状
湿润状	湿润状
海绵状	海绵状
颗粒状	颗粒状
色点状	色点状
色丝状	色丝状
线条状	线条状
的瘤状	的瘤状
针芒状	针芒状
透明状	透明状
软腐状	软腐状
规则状	规则状
色霜状	色霜状
色胶状	色胶状
色条状	色条状
纤维状	纤维状
短条状	短条状
疮痂状	疮痂状
猝倒状	猝倒状
斑驳状	斑驳状
霜霉状	霜霉状
长条状	长条状
针头状	针头状
蛛丝状	蛛丝状
薄纸状	薄纸状
萎缩状	萎缩状
花叶状	花叶状
霉状	霉状
火烧状	火烧状
漏斗状	漏斗状
油浸状	油浸状
水烫状	水烫状
条纹状	条纹状
成网状	成网状
