# alias \t normalized name [TODO: \t category \t official link \t ...]
三色堇	三色堇
三色堇菜	三色堇
猫儿脸	猫儿脸
蝴蝶花	蝴蝶花
人面花	人面花
猫脸花	猫脸花
阳蝶花	阳蝶花
鬼脸花	鬼脸花
丑橘	丑橘
丑柑	丑柑
凸顶柑	凸顶柑
丑八怪	丑八怪
丝瓜	丝瓜
胜瓜	胜瓜
菜瓜	菜瓜
乌梅	乌梅
梅实	梅实
黑梅	黑梅
熏梅	熏梅
桔梅肉	桔梅肉
人参果	人参果
仙果	仙果
香艳梨	香艳梨
艳果	艳果
草还丹	草还丹
仙客来	仙客来
萝卜海棠	萝卜海棠
兔耳花	兔耳花
兔子花	兔子花
一品冠	一品冠
篝火花	篝火花
翻瓣莲	翻瓣莲
儿菜	儿菜
拳头菜	拳头菜
冬枣	冬枣
庙上福	庙上福
雁来红	雁来红
苹果枣	苹果枣
冬瓜	冬瓜
白瓜	白瓜
白东瓜皮	白东瓜皮
白冬瓜	白冬瓜
白瓜皮	白瓜皮
白瓜子	白瓜子
地芝	地芝
东瓜	东瓜
凤仙花	凤仙花
指甲花	指甲花
急性子	急性子
女儿花	女儿花
金凤花	金凤花
桃红	桃红
凤梨	凤梨
菠萝	菠萝
菠萝皮	菠萝皮
草菠萝	草菠萝
地菠萝等	地菠萝等
刀豆	刀豆
挟剑豆	挟剑豆
野刀板藤	野刀板藤
葛豆	葛豆
刀豆角	刀豆角
刀板豆	刀板豆
刺角瓜	刺角瓜
火参果	火参果
奇瓦诺果	奇瓦诺果
非洲蜜瓜	非洲蜜瓜
非洲角黄瓜	非洲角黄瓜
火天桃	火天桃
火星果	火星果
南瓜	南瓜
倭瓜	倭瓜
番瓜	番瓜
饭瓜	饭瓜
番南瓜	番南瓜
北瓜	北瓜
卷心菜	卷心菜
洋白菜	洋白菜
圆白菜	圆白菜
包菜	包菜
包心菜	包心菜
莲花菜	莲花菜
茴子白	茴子白
大头菜	大头菜
椰子菜	椰子菜
包包白	包包白
双孢菇	双孢菇
向日葵	向日葵
朝阳花	朝阳花
转日莲	转日莲
向阳花	向阳花
望日莲	望日莲
太阳花	太阳花
哈密瓜	哈密瓜
甜瓜	甜瓜
甘瓜	甘瓜
网纹瓜	网纹瓜
四季豆	四季豆
架豆	架豆
芸豆	芸豆
芸扁豆	芸扁豆
土豆网	土豆网
圣女果	圣女果
小西红柿	小西红柿
樱桃西红柿	樱桃西红柿
樱桃番茄	樱桃番茄
小柿子	小柿子
大球盖菇	大球盖菇
皱环球盖菇	皱环球盖菇
皱球盖菇	皱球盖菇
酒红色球盖菇	酒红色球盖菇
斐氏球盖菇	斐氏球盖菇
大白菜	大白菜
结球白菜	结球白菜
包心白菜	包心白菜
天天开	天天开
姬松茸	姬松茸
巴西蘑菇	巴西蘑菇
巴氏蘑菇	巴氏蘑菇
小松菇	小松菇
娃娃菜	娃娃菜
小白菜	小白菜
青菜	青菜
油菜	油菜
小葱	小葱
香葱	香葱
绵葱	绵葱
火葱	火葱
四季葱	四季葱
细米葱	细米葱
山楂	山楂
山里果	山里果
山里红	山里红
酸里红	酸里红
山里红果	山里红果
酸枣	酸枣
红果	红果
红果子	红果子
山林果	山林果
平菇	平菇
侧耳	侧耳
北风菌	北风菌
秀珍菇	秀珍菇
康乃馨	康乃馨
狮头石竹	狮头石竹
麝香石竹	麝香石竹
大花石竹	大花石竹
荷兰石竹	荷兰石竹
彩椒	彩椒
慈姑	慈姑
剪刀草	剪刀草
燕尾草	燕尾草
扁豆	扁豆
火镰扁豆	火镰扁豆
膨皮豆	膨皮豆
藤豆	藤豆
沿篱豆	沿篱豆
鹊豆	鹊豆
皮扁豆	皮扁豆
豆角	豆角
白扁豆	白扁豆
提子	提子
美国葡萄	美国葡萄
美国提子	美国提子
无花果	无花果
阿驲	阿驲
阿驿	阿驿
映日果	映日果
优昙钵	优昙钵
蜜果	蜜果
文仙果	文仙果
奶浆果	奶浆果
品仙果	品仙果
昙花	昙花
琼花	琼花
昙华	昙华
鬼仔花	鬼仔花
韦陀花	韦陀花
春笋	春笋
竹笋	竹笋
笋	笋
竹萌	竹萌
竹芽	竹芽
生笋	生笋
普通念珠藻	普通念珠藻
地木耳	地木耳
地皮菜	地皮菜
地软	地软
地踏菜等	地踏菜等
曼陀罗	曼陀罗
曼茶罗	曼茶罗
醉心花	醉心花
狗核桃等	狗核桃等
木瓜	木瓜
榠楂	榠楂
木李	木李
海棠	海棠
光皮木瓜	光皮木瓜
木耳	木耳
木菌	木菌
光木耳	光木耳
树耳	树耳
木蛾	木蛾
黑菜云耳	黑菜云耳
朱顶红	朱顶红
柱顶红	柱顶红
孤梃花	孤梃花
华胄兰	华胄兰
百子莲	百子莲
炮打四门	炮打四门
李子	李子
嘉庆子	嘉庆子
玉皇李	玉皇李
山李子	山李子
杏果	杏果
杏鲍菇	杏鲍菇
刺芹侧耳	刺芹侧耳
刺芹菇	刺芹菇
杜鹃花	杜鹃花
映山红	映山红
山石榴	山石榴
山踯躅	山踯躅
红踯躅	红踯躅
满山红	满山红
杨梅	杨梅
圣生梅	圣生梅
白蒂梅	白蒂梅
树梅	树梅
松露	松露
地菌	地菌
块菌	块菌
块菰	块菰
枇杷	枇杷
芦橘	芦橘
又名金丸	又名金丸
芦枝	芦枝
柑	柑
新会柑	新会柑
金实	金实
柑橘	柑橘
宽皮橘	宽皮橘
蜜橘	蜜橘
黄橘	黄橘
红橘	红橘
大红袍	大红袍
大红蜜橘	大红蜜橘
柚子	柚子
柚	柚
文旦	文旦
香栾	香栾
朱栾	朱栾
内紫	内紫
雷柚	雷柚
碌柚	碌柚
胡柑	胡柑
大柑	大柑
五爪红	五爪红
柠檬	柠檬
柠果	柠果
洋柠檬	洋柠檬
益母果	益母果
益母子	益母子
柿子	柿子
红嘟嘟	红嘟嘟
朱果	朱果
红柿	红柿
桂花	桂花
岩桂	岩桂
木犀	木犀
九里香	九里香
金粟	金粟
桃	桃
桑葚	桑葚
桑果	桑果
